Name,Date Practiced,Refresh Database,Tunes
The Gullane Polka (24-02-19),"February 19, 2024 10:42 AM (CST)",,The Gullane Polka (https://www.notion.so/The-Gullane-Polka-fff4b194d26648c892405955f27332ba?pvs=21)
The Home Ruler (24-02-19),"February 19, 2024 3:41 PM (CST)",,The Home Ruler (https://www.notion.so/The-Home-Ruler-d8422970394e4c04b46736d3c46284b7?pvs=21)
The Kid on the Mountain (24-02-20),"February 20, 2024 8:06 AM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
The Gullane Polka (24-02-20),"February 20, 2024 8:06 AM (CST)",,The Gullane Polka (https://www.notion.so/The-Gullane-Polka-fff4b194d26648c892405955f27332ba?pvs=21)
The Saint Louis Waltz (24-02-20),"February 20, 2024 8:07 AM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
Sporting Paddy (24-02-20),"February 20, 2024 11:08 PM (CST)",,Sporting Paddy (https://www.notion.so/Sporting-Paddy-323d0a89abeb4931ab08147ef53f14ab?pvs=21)
Corney is Coming (24-02-21),"February 21, 2024 7:24 AM (CST)",,Corney is Coming (https://www.notion.so/Corney-is-Coming-0f13aa1dc7dd4c5cac5ea7febd3cfacd?pvs=21)
The Kid on the Mountain (24-02-21),"February 21, 2024 7:25 AM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
The Saint Louis Waltz (24-02-21),"February 21, 2024 7:25 AM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
Paddy Scanlon's Polka (24-02-21),"February 21, 2024 7:29 AM (CST)",,Paddy Scanlon's Polka (https://www.notion.so/Paddy-Scanlon-s-Polka-fb6995895542481682e795b4f0bc2c0e?pvs=21)
The Mountain Road (24-02-21),"February 21, 2024 9:40 PM (CST)",,The Mountain Road (https://www.notion.so/The-Mountain-Road-93ac39c241844729911e998c0e1d351a?pvs=21)
Kitty's Wedding (HP) (24-02-21),"February 21, 2024 10:21 PM (CST)",,Kitty's Wedding (HP) (https://www.notion.so/Kitty-s-Wedding-HP-bf9ce2af3f1b4233a323eb1a6299c49c?pvs=21)
Jenny Picking Cockles (24-02-21),"February 21, 2024 10:49 PM (CST)",,Jenny Picking Cockles (https://www.notion.so/Jenny-Picking-Cockles-0c00f9527c89458a85aca62cc9e93eab?pvs=21)
Kitty's Wedding (HP) (24-02-22),"February 22, 2024 9:06 AM (CST)",,Kitty's Wedding (HP) (https://www.notion.so/Kitty-s-Wedding-HP-bf9ce2af3f1b4233a323eb1a6299c49c?pvs=21)
The Home Ruler (24-02-22),"February 22, 2024 9:06 AM (CST)",,The Home Ruler (https://www.notion.so/The-Home-Ruler-d8422970394e4c04b46736d3c46284b7?pvs=21)
The Tenpenny Piece (24-02-22),"February 22, 2024 9:42 AM (CST)",,The Tenpenny Piece (https://www.notion.so/The-Tenpenny-Piece-f3c319dd6c2547fdaa64302da8640b6c?pvs=21)
My Mind Will Ne’er Be Easy (24-02-22),"February 22, 2024 5:55 PM (CST)",,My Mind Will Ne’er Be Easy (https://www.notion.so/My-Mind-Will-Ne-er-Be-Easy-31da303be67e479a86646638224a81ce?pvs=21)
Humours of Lisheen (24-02-22),"February 22, 2024 5:55 PM (CST)",,Humours of Lisheen (https://www.notion.so/Humours-of-Lisheen-96be6557804240c4b1f73ae7081b2ec1?pvs=21)
Were You At The Fair (24-02-22),"February 22, 2024 11:02 PM (CST)",,Were You At The Fair (https://www.notion.so/Were-You-At-The-Fair-eb5b6f39a94c414698596cc8f43e9df3?pvs=21)
Scully Casey’s (24-02-23),"February 23, 2024 8:54 AM (CST)",,Scully Casey’s (https://www.notion.so/Scully-Casey-s-b7804226221b421db78adb35138ad1cb?pvs=21)
The Gullane Polka (24-02-23),"February 23, 2024 12:24 PM (CST)",,The Gullane Polka (https://www.notion.so/The-Gullane-Polka-fff4b194d26648c892405955f27332ba?pvs=21)
Upperchurch Polka #1 (24-02-23),"February 23, 2024 6:42 PM (CST)",,Upperchurch Polka #1 (https://www.notion.so/Upperchurch-Polka-1-ce94e991a3cb4fb1a03d2dafad5ac576?pvs=21)
Upperchurch Polka #2 (24-02-23),"February 23, 2024 6:42 PM (CST)",,Upperchurch Polka #2 (https://www.notion.so/Upperchurch-Polka-2-9531fd9e9548464bb0485fb52a8b0b7f?pvs=21)
Jenny’s Wedding (Reel) (24-02-24),"February 24, 2024 1:33 PM (CST)",,Jenny’s Wedding (Reel) (https://www.notion.so/Jenny-s-Wedding-Reel-d33bfc003bdf443a80c372f13a1f5738?pvs=21)
Jenny Picking Cockles (24-02-24),"February 24, 2024 1:33 PM (CST)",,Jenny Picking Cockles (https://www.notion.so/Jenny-Picking-Cockles-0c00f9527c89458a85aca62cc9e93eab?pvs=21)
Corney is Coming (24-02-24),"February 24, 2024 1:33 PM (CST)",,Corney is Coming (https://www.notion.so/Corney-is-Coming-0f13aa1dc7dd4c5cac5ea7febd3cfacd?pvs=21)
Scully Casey’s (24-02-24),"February 24, 2024 1:57 PM (CST)",,Scully Casey’s (https://www.notion.so/Scully-Casey-s-b7804226221b421db78adb35138ad1cb?pvs=21)
The Saint Louis Waltz (24-02-24),"February 24, 2024 2:11 PM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
Humours of Ballyloughlin (24-02-24),"February 24, 2024 2:23 PM (CST)",,Humours of Ballyloughlin (https://www.notion.so/Humours-of-Ballyloughlin-a8a2937f76c54d2e82642d739a2f18d9?pvs=21)
Young Tom Ennis (24-02-25),"February 25, 2024 9:36 AM (CST)",,Young Tom Ennis (https://www.notion.so/Young-Tom-Ennis-2709121a4c0a47b2962c5611d4f13816?pvs=21)
The Kid on the Mountain (24-02-25),"February 25, 2024 10:01 AM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
Humours of Ennistymon (24-02-25),"February 25, 2024 11:32 AM (CST)",,Humours of Ennistymon (https://www.notion.so/Humours-of-Ennistymon-d65b81dba2ad43ac9d90f2b0af4b2e7b?pvs=21)
The Wandering Minstrel (24-02-25),"February 25, 2024 11:32 AM (CST)",,The Wandering Minstrel (https://www.notion.so/The-Wandering-Minstrel-538775a9103449f795d5acdc7a1146d6?pvs=21)
Scully Casey’s (24-02-25),"February 25, 2024 11:35 AM (CST)",,Scully Casey’s (https://www.notion.so/Scully-Casey-s-b7804226221b421db78adb35138ad1cb?pvs=21)
Bird in the Bush (24-02-26),"February 26, 2024 6:47 AM (CST)",,Bird in the Bush (https://www.notion.so/Bird-in-the-Bush-127095877e7a42d4ba02594684b406a6?pvs=21)
The Mountain Road (24-02-26),"February 26, 2024 6:47 AM (CST)",,The Mountain Road (https://www.notion.so/The-Mountain-Road-93ac39c241844729911e998c0e1d351a?pvs=21)
The Saint Louis Waltz (24-02-26),"February 26, 2024 3:07 PM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
Scully Casey’s (24-02-26),"February 26, 2024 3:08 PM (CST)",,Scully Casey’s (https://www.notion.so/Scully-Casey-s-b7804226221b421db78adb35138ad1cb?pvs=21)
The Kid on the Mountain (24-02-26),"February 26, 2024 5:24 PM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
Come West Along the Road (24-02-26),"February 26, 2024 5:45 PM (CST)",,Come West Along the Road (https://www.notion.so/Come-West-Along-the-Road-747f05a787254086bd44458bd5636459?pvs=21)
The Kid on the Mountain (24-02-27),"February 27, 2024 6:52 AM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
The Saint Louis Waltz (24-02-27),"February 27, 2024 6:53 AM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
John Joe Harnett’s (24-02-28),"February 28, 2024 8:04 AM (CST)",,John Joe Harnett’s (https://www.notion.so/John-Joe-Harnett-s-3caa6fe31e88400f92ad88ef663f29ab?pvs=21)
Moss Murphys #1 (24-02-28),"February 28, 2024 8:04 AM (CST)",,Moss Murphys #1 (https://www.notion.so/Moss-Murphys-1-9169545be89440eb8a13073fa4039b14?pvs=21)
Moss Murphys #2 (24-02-28),"February 28, 2024 8:04 AM (CST)",,Moss Murphys #2 (https://www.notion.so/Moss-Murphys-2-c982ee29b72745789cce70be5aa5b88b?pvs=21)
The Saint Louis Waltz (24-02-28),"February 28, 2024 8:09 AM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
Sailing Into Walpole’s Marsh (24-02-28),"February 28, 2024 7:19 PM (CST)",,Sailing Into Walpole’s Marsh (https://www.notion.so/Sailing-Into-Walpole-s-Marsh-fe56168ac98642d68bebb8c89aad6de9?pvs=21)
The Lasses of Limerick (24-02-29),"February 29, 2024 7:31 AM (CST)",,The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)
Sailing Into Walpole’s Marsh (24-02-29),"February 29, 2024 10:52 AM (CST)",,Sailing Into Walpole’s Marsh (https://www.notion.so/Sailing-Into-Walpole-s-Marsh-fe56168ac98642d68bebb8c89aad6de9?pvs=21)
Shoe the Donkey (24-02-29),"February 29, 2024 8:18 PM (CST)",,Shoe the Donkey (https://www.notion.so/Shoe-the-Donkey-63e913a725ba4c72b3c19f010b2a23a7?pvs=21)
The Lasses of Limerick (24-02-29),"February 29, 2024 9:43 PM (CST)",,The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)
Lady Anne Montgomery (24-02-29),"February 29, 2024 9:43 PM (CST)",,Lady Anne Montgomery (https://www.notion.so/Lady-Anne-Montgomery-aa078c94d2784c07ac1baa6174f0ed45?pvs=21)
Silver Spear (24-02-29),"February 29, 2024 9:44 PM (CST)",,Silver Spear (https://www.notion.so/Silver-Spear-e2e7928ec26e4745a4e5c8b7bdabcd8d?pvs=21)
The Ballydesmond Polka #2 (24-03-01),"March 1, 2024 8:39 AM (CST)",,The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21)
Silver Spear (24-03-01),"March 1, 2024 8:39 AM (CST)",,Silver Spear (https://www.notion.so/Silver-Spear-e2e7928ec26e4745a4e5c8b7bdabcd8d?pvs=21)
Sonny Brogan #1 (24-03-01),"March 1, 2024 3:15 PM (CST)",,Sonny Brogan #1 (https://www.notion.so/Sonny-Brogan-1-17d8cc3c5b9643e398ef0741e5ab30e9?pvs=21)
Sailing Into Walpole’s Marsh (24-03-01),"March 1, 2024 4:30 PM (CST)",,Sailing Into Walpole’s Marsh (https://www.notion.so/Sailing-Into-Walpole-s-Marsh-fe56168ac98642d68bebb8c89aad6de9?pvs=21)
,"March 1, 2024 4:31 PM (CST)",,Lady Anne Montgomery (https://www.notion.so/Lady-Anne-Montgomery-aa078c94d2784c07ac1baa6174f0ed45?pvs=21)
,"March 1, 2024 4:31 PM (CST)",,The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)
The Lasses of Limerick (24-03-01),"March 1, 2024 5:01 PM (CST)",,The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)
,"March 1, 2024 5:03 PM (CST)",,Mug of Brown Ale (https://www.notion.so/Mug-of-Brown-Ale-b87c86a1ef48464993d207e318b57a6b?pvs=21)
,"March 1, 2024 5:03 PM (CST)",,The Meelick Team (https://www.notion.so/The-Meelick-Team-57733247e8e04e1ba7bcc895eecf1284?pvs=21)
,"March 1, 2024 5:03 PM (CST)",,Darby the Driver (https://www.notion.so/Darby-the-Driver-bd08e1e2b24145f19cec20079f9c9cc4?pvs=21)
,"March 2, 2024 10:09 AM (CST)",,The Ballydesmond Polka #3 (https://www.notion.so/The-Ballydesmond-Polka-3-00a5d186ae494b25967004a77533d9ae?pvs=21)
,"March 2, 2024 10:10 AM (CST)",,The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21)
,"March 2, 2024 5:03 PM (CST)",,Shoe the Donkey (https://www.notion.so/Shoe-the-Donkey-63e913a725ba4c72b3c19f010b2a23a7?pvs=21)
,"March 3, 2024 9:02 AM (CST)",,Silver Spear (https://www.notion.so/Silver-Spear-e2e7928ec26e4745a4e5c8b7bdabcd8d?pvs=21)
,"March 3, 2024 10:35 AM (CST)",,The Ballydesmond Polka #3 (https://www.notion.so/The-Ballydesmond-Polka-3-00a5d186ae494b25967004a77533d9ae?pvs=21)
,"March 3, 2024 10:35 AM (CST)",,The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21)
,"March 3, 2024 10:46 AM (CST)",,The Gullane Polka (https://www.notion.so/The-Gullane-Polka-fff4b194d26648c892405955f27332ba?pvs=21)
,"March 3, 2024 10:57 AM (CST)",,Rolling in the Barrel (https://www.notion.so/Rolling-in-the-Barrel-e82c5d31f0b0410da5507cd27d0a4f84?pvs=21)
,"March 3, 2024 10:58 AM (CST)",,Come West Along the Road (https://www.notion.so/Come-West-Along-the-Road-747f05a787254086bd44458bd5636459?pvs=21)
,"March 3, 2024 11:20 AM (CST)",,Upperchurch Polka #1 (https://www.notion.so/Upperchurch-Polka-1-ce94e991a3cb4fb1a03d2dafad5ac576?pvs=21)
,"March 3, 2024 11:20 AM (CST)",,Upperchurch Polka #2 (https://www.notion.so/Upperchurch-Polka-2-9531fd9e9548464bb0485fb52a8b0b7f?pvs=21)
As I Went Out Upon the Ice (24-03-03),"March 3, 2024 8:50 PM (CST)",,As I Went Out Upon the Ice (https://www.notion.so/As-I-Went-Out-Upon-the-Ice-2e6be37918bc4682ba07ab7e0b5a1c0f?pvs=21)
,"March 3, 2024 9:25 PM (CST)",,As I Went Out Upon the Ice (https://www.notion.so/As-I-Went-Out-Upon-the-Ice-2e6be37918bc4682ba07ab7e0b5a1c0f?pvs=21)
,"March 3, 2024 10:03 PM (CST)",,Sailing Into Walpole’s Marsh (https://www.notion.so/Sailing-Into-Walpole-s-Marsh-fe56168ac98642d68bebb8c89aad6de9?pvs=21)
,"March 3, 2024 10:17 PM (CST)",,Bill Harte's Jig (https://www.notion.so/Bill-Harte-s-Jig-3418c7744c5e4530be372b642c006eb6?pvs=21)
,"March 4, 2024 6:43 AM (CST)",,The Boys of Ballisodare (https://www.notion.so/The-Boys-of-Ballisodare-d3fce4def8df43778acfbbd3c94575ab?pvs=21)
,"March 4, 2024 6:52 AM (CST)",,The Dances at Kinvara (https://www.notion.so/The-Dances-at-Kinvara-5ad1820870b143f4bc7b3fe4e79e2d01?pvs=21)
,"March 4, 2024 8:43 AM (CST)",,Sailing Into Walpole’s Marsh (https://www.notion.so/Sailing-Into-Walpole-s-Marsh-fe56168ac98642d68bebb8c89aad6de9?pvs=21)
,"March 4, 2024 8:43 AM (CST)",,The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21)
,"March 4, 2024 8:43 AM (CST)",,The Ballydesmond Polka #3 (https://www.notion.so/The-Ballydesmond-Polka-3-00a5d186ae494b25967004a77533d9ae?pvs=21)
,"March 4, 2024 11:18 PM (CST)",,Paddy Scanlon's Polka (https://www.notion.so/Paddy-Scanlon-s-Polka-fb6995895542481682e795b4f0bc2c0e?pvs=21)
,"March 6, 2024 9:15 AM (CST)",,The Ballydesmond Polka #1 (https://www.notion.so/The-Ballydesmond-Polka-1-fc086c82dcde4265b2300c31ce4bba3d?pvs=21)
,"March 6, 2024 2:24 PM (CST)",,Jenny Picking Cockles (https://www.notion.so/Jenny-Picking-Cockles-0c00f9527c89458a85aca62cc9e93eab?pvs=21)
,"March 6, 2024 2:24 PM (CST)",,Corney is Coming (https://www.notion.so/Corney-is-Coming-0f13aa1dc7dd4c5cac5ea7febd3cfacd?pvs=21)
,"March 6, 2024 2:25 PM (CST)",,Jenny’s Wedding (Reel) (https://www.notion.so/Jenny-s-Wedding-Reel-d33bfc003bdf443a80c372f13a1f5738?pvs=21)
,"March 6, 2024 10:50 PM (CST)",,Sonny Brogan #1 (https://www.notion.so/Sonny-Brogan-1-17d8cc3c5b9643e398ef0741e5ab30e9?pvs=21)
,"March 6, 2024 10:50 PM (CST)",,Shoe the Donkey (https://www.notion.so/Shoe-the-Donkey-63e913a725ba4c72b3c19f010b2a23a7?pvs=21)
,"March 6, 2024 10:50 PM (CST)",,Sonny Brogan #2 (https://www.notion.so/Sonny-Brogan-2-feae5ab840b24f82bc4ec47c5bc40b7e?pvs=21)
Corney is Coming (24-03-06),"March 6, 2024 10:51 PM (CST)",,Corney is Coming (https://www.notion.so/Corney-is-Coming-0f13aa1dc7dd4c5cac5ea7febd3cfacd?pvs=21)
,"March 7, 2024 8:50 PM (CST)",,Shoe the Donkey (https://www.notion.so/Shoe-the-Donkey-63e913a725ba4c72b3c19f010b2a23a7?pvs=21)
,"March 7, 2024 8:50 PM (CST)",,Sonny Brogan #2 (https://www.notion.so/Sonny-Brogan-2-feae5ab840b24f82bc4ec47c5bc40b7e?pvs=21)
,"March 7, 2024 8:50 PM (CST)",,Sonny Brogan #2 (https://www.notion.so/Sonny-Brogan-2-feae5ab840b24f82bc4ec47c5bc40b7e?pvs=21)
,"March 7, 2024 8:50 PM (CST)",,Sonny Brogan #1 (https://www.notion.so/Sonny-Brogan-1-17d8cc3c5b9643e398ef0741e5ab30e9?pvs=21)
,"March 7, 2024 9:38 PM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
,"March 7, 2024 9:55 PM (CST)",,The Lasses of Limerick (https://www.notion.so/The-Lasses-of-Limerick-f6d7f33d585e47b0b12b38a1e8102eac?pvs=21)
,"March 7, 2024 9:55 PM (CST)",,Lady Anne Montgomery (https://www.notion.so/Lady-Anne-Montgomery-aa078c94d2784c07ac1baa6174f0ed45?pvs=21)
,"March 7, 2024 10:19 PM (CST)",,The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21)
,"March 7, 2024 10:19 PM (CST)",,The Ballydesmond Polka #3 (https://www.notion.so/The-Ballydesmond-Polka-3-00a5d186ae494b25967004a77533d9ae?pvs=21)
,"March 7, 2024 10:19 PM (CST)",,The Ballydesmond Polka #1 (https://www.notion.so/The-Ballydesmond-Polka-1-fc086c82dcde4265b2300c31ce4bba3d?pvs=21)
,"March 7, 2024 10:19 PM (CST)",,Corney is Coming (https://www.notion.so/Corney-is-Coming-0f13aa1dc7dd4c5cac5ea7febd3cfacd?pvs=21)
,"March 7, 2024 10:19 PM (CST)",,Jenny’s Wedding (Reel) (https://www.notion.so/Jenny-s-Wedding-Reel-d33bfc003bdf443a80c372f13a1f5738?pvs=21)
,"March 7, 2024 10:35 PM (CST)",,My Mind Will Ne’er Be Easy (https://www.notion.so/My-Mind-Will-Ne-er-Be-Easy-31da303be67e479a86646638224a81ce?pvs=21)
,"March 8, 2024 8:25 AM (CST)",,Moss Murphys #2 (https://www.notion.so/Moss-Murphys-2-c982ee29b72745789cce70be5aa5b88b?pvs=21)
,"March 8, 2024 8:25 AM (CST)",,Moss Murphys #1 (https://www.notion.so/Moss-Murphys-1-9169545be89440eb8a13073fa4039b14?pvs=21)
,"March 8, 2024 8:25 AM (CST)",,John Joe Harnett’s (https://www.notion.so/John-Joe-Harnett-s-3caa6fe31e88400f92ad88ef663f29ab?pvs=21)
The Home Ruler (24-03-08),"March 8, 2024 9:03 AM (CST)",,The Home Ruler (https://www.notion.so/The-Home-Ruler-d8422970394e4c04b46736d3c46284b7?pvs=21)
,"March 8, 2024 9:03 AM (CST)",,Kitty's Wedding (HP) (https://www.notion.so/Kitty-s-Wedding-HP-bf9ce2af3f1b4233a323eb1a6299c49c?pvs=21)
John Joe Harnett’s (24-03-08),"March 8, 2024 9:05 AM (CST)",,John Joe Harnett’s (https://www.notion.so/John-Joe-Harnett-s-3caa6fe31e88400f92ad88ef663f29ab?pvs=21)
Sonny Brogan #1 (24-03-08),"March 8, 2024 9:07 AM (CST)",,Sonny Brogan #1 (https://www.notion.so/Sonny-Brogan-1-17d8cc3c5b9643e398ef0741e5ab30e9?pvs=21)
Paddy Scanlon's Polka (24-03-09),"March 9, 2024 12:36 AM (CST)",,Paddy Scanlon's Polka (https://www.notion.so/Paddy-Scanlon-s-Polka-fb6995895542481682e795b4f0bc2c0e?pvs=21)
The Ballydesmond Polka #2 (24-03-09),"March 9, 2024 12:36 AM (CST)",,The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21)
Sailing Into Walpole’s Marsh (24-03-10),"March 10, 2024 3:09 PM (CDT)",,Sailing Into Walpole’s Marsh (https://www.notion.so/Sailing-Into-Walpole-s-Marsh-fe56168ac98642d68bebb8c89aad6de9?pvs=21)
The Gullane Polka (24-03-10),"March 10, 2024 3:45 PM (CDT)",,The Gullane Polka (https://www.notion.so/The-Gullane-Polka-fff4b194d26648c892405955f27332ba?pvs=21)
David Collins #1  (24-03-10),"March 10, 2024 4:33 PM (CDT)",,David Collins #1  (https://www.notion.so/David-Collins-1-7cf501a1d26e4b0aa168bfe03893ec61?pvs=21)
David Collins #2 (24-03-10),"March 10, 2024 4:33 PM (CDT)",,David Collins #2 (https://www.notion.so/David-Collins-2-9d557794a1d544dd9f56c1eea03f9a67?pvs=21)
Scatter the Mud  (24-03-10),"March 10, 2024 5:09 PM (CDT)",,Scatter the Mud  (https://www.notion.so/Scatter-the-Mud-f7f5a04fd01d441e9bb23fb63171df6f?pvs=21)
The Ballydesmond Polka #1 (24-03-10),"March 10, 2024 5:25 PM (CDT)",,The Ballydesmond Polka #1 (https://www.notion.so/The-Ballydesmond-Polka-1-fc086c82dcde4265b2300c31ce4bba3d?pvs=21)
Shoe the Donkey (24-03-10),"March 10, 2024 8:49 PM (CDT)",,Shoe the Donkey (https://www.notion.so/Shoe-the-Donkey-63e913a725ba4c72b3c19f010b2a23a7?pvs=21)
Sonny Brogan #1 (24-03-10),"March 10, 2024 8:49 PM (CDT)",,Sonny Brogan #1 (https://www.notion.so/Sonny-Brogan-1-17d8cc3c5b9643e398ef0741e5ab30e9?pvs=21)
Sonny Brogan #2 (24-03-10),"March 10, 2024 8:49 PM (CDT)",,Sonny Brogan #2 (https://www.notion.so/Sonny-Brogan-2-feae5ab840b24f82bc4ec47c5bc40b7e?pvs=21)
Hardiman the Fiddler (24-03-11),"March 11, 2024 7:02 AM (CDT)",,Hardiman the Fiddler (https://www.notion.so/Hardiman-the-Fiddler-2812d865b3124043851ea8beb3114fc8?pvs=21)
David Collins #1  (24-03-11),"March 11, 2024 7:34 AM (CDT)",,David Collins #1  (https://www.notion.so/David-Collins-1-7cf501a1d26e4b0aa168bfe03893ec61?pvs=21)
David Collins #2 (24-03-11),"March 11, 2024 7:35 AM (CDT)",,David Collins #2 (https://www.notion.so/David-Collins-2-9d557794a1d544dd9f56c1eea03f9a67?pvs=21)
The Ballydesmond Polka #1 (24-03-11),"March 11, 2024 7:35 AM (CDT)",,The Ballydesmond Polka #1 (https://www.notion.so/The-Ballydesmond-Polka-1-fc086c82dcde4265b2300c31ce4bba3d?pvs=21)
The Ballydesmond Polka #2 (24-03-11),"March 11, 2024 7:35 AM (CDT)",,The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21)
The Rathawuan Slide (24-03-11),"March 11, 2024 6:24 PM (CDT)",,The Rathawuan Slide (https://www.notion.so/The-Rathawuan-Slide-f71cc10f0540437c9eeaac6cc283f79d?pvs=21)
The Kid on the Mountain (24-03-11),"March 11, 2024 10:22 PM (CDT)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
Scatter the Mud  (24-03-11),"March 11, 2024 10:22 PM (CDT)",,Scatter the Mud  (https://www.notion.so/Scatter-the-Mud-f7f5a04fd01d441e9bb23fb63171df6f?pvs=21)
The Ballydesmond Polka #3 (24-03-11),"March 11, 2024 10:23 PM (CDT)",,The Ballydesmond Polka #3 (https://www.notion.so/The-Ballydesmond-Polka-3-00a5d186ae494b25967004a77533d9ae?pvs=21)
The Meelick Team (24-03-13),"March 13, 2024 7:16 AM (CDT)",,The Meelick Team (https://www.notion.so/The-Meelick-Team-57733247e8e04e1ba7bcc895eecf1284?pvs=21)
